station_id,lat,lng,state
A236,-2.2486111,-49.49305555,PA
A241,-8.25916666,-49.27416666,PA
A938,-12.73472221,-60.15777777,RO
A939,-11.44583333,-61.43416666,RO
A940,-9.94888888,-62.96194444,RO
A038,-11.59416666,-46.84722221,TO
A039,-11.98722221,-49.60833333,TO
A622,-21.10111111,-41.03888888,ES
A623,-18.69527777,-40.4075,ES
A535,-19.88527778,-44.41694444,MG
A555,-20.0311111,-44.01111111,MG
A620,-22.04166666,-41.05194444,RJ
A741,-22.37083332,-48.55722222,SP
A746,-24.96305555,-48.41638888,SP
A747,-21.33833333,-48.11388888,SP
A753,-20.35944444,-47.77499999,SP
A846,-25.60194444,-54.48305554,PR
A849,-22.63388888,-52.85888888,PR
A850,-22.49166666,-52.13444444,PR
A869,-23.37583332,-52.93194443,PR
A871,-23.77305554,-50.18055554,PR
A873,-25.51277777,-48.80861111,PR
A875,-26.398611100000004,-51.35444444,PR
A876,-26.41722221,-52.34888888,PR
A834,-30.00972222,-50.13527777,RS
A837,-28.85361111,-52.55833333,RS
A856,-27.92166666,-53.31694443,RS
A878,-31.24777777,-50.90555555,RS
A879,-29.36888888,-50.82749999,RS
A880,-28.51361111,-50.88277777,RS
A899,-33.74166666,-53.37138888,RS
A814,-28.53249999,-49.31555555,SC
A815,-28.27555554,-49.93444444,SC
A816,-26.40694444,-52.85055555,SC
A848,-26.28638888,-53.63277777,SC
A857,-26.77666666,-53.50444444,SC
A858,-26.938611100000006,-52.415,SC
A859,-26.81944443,-50.98555555,SC
A860,-27.288611100000004,-50.60416666,SC
A861,-26.93749999,-50.14638888,SC
A862,-26.248611100000005,-49.58055554,SC
A863,-27.41833332,-49.64666666,SC
A866,-28.60416666,-48.81333333,SC
A867,-28.93138888,-49.49805555,SC
A444,-13.3436111,-39.12666666,BA
A445,-14.17138888,-39.69249999,BA
A446,-15.24472221,-40.22944443,BA
A447,-16.08805555,-39.21555555,BA
A360,-3.12083332,-40.08694444,CE
A361,-5.34916666,-41.51222222,PI
A362,-5.91111111,-42.7186111,PI
A363,-6.39916666,-41.73999999,PI
A364,-9.87472221,-45.34638888,PI
A136,-8.26694443,-72.74777777,AC
A137,-8.95,-72.78666666,AC
A138,-8.24194444,-70.57527777,AC
A140,-11.023611099999998,-68.73499999,AC
A240,-5.16722221,-49.37916666,PA
A044,-5.643611099999998,-48.11166666,TO
A833,-29.19138888,-54.88555555,RS
A864,-26.393611100000005,-50.36333333,SC
A037,-16.67694443,-48.61805554,GO
A756,-20.44444444,-52.87555554,MS
A366,-7.88472221,-40.10111111,PE
A365,-8.11777777,-42.00888888,PI
A367,-6.22777777,-36.02638888,RN
A246,-6.31972221,-55.78722221,PA
A135,2.81694443,-60.69083333,RR
A556,-20.26361111,-42.18277777,MG
A624,-22.33305554,-42.67722221,RJ
A748,-20.55888888,-48.54472221,SP
A881,-31.0025,-54.61805554,RS
A868,-26.95083333,-48.76194444,SC
A757,-22.10083333,-56.53999999,MS
A758,-21.47833332,-56.13694444,MS
A909,-17.33944444,-53.22416666,MT
A133,-5.81055555,-61.29194444,AM
A134,-0.12499999,-67.06111111,AM
A248,-1.73472221,-47.0575,PA
A657,-20.10416666,-41.10694444,ES
A755,-23.52333332,-46.86916666,SP
A872,-24.23833333,-50.24555555,PR
A874,-25.83499999,-50.3686111,PR
A760,-18.82277777,-53.26722221,MS
A761,-17.89638888,-54.45361111,MS
A941,-16.07444443,-57.69277777,MT
A109,-6.65027777,-69.86694443,AM
A232,-5.36583333,-49.12527777,PA
A239,-2.0,-54.07583332,PA
A040,-10.42999999,-45.91999999,TO
A041,-9.57666666,-49.72333332,TO
A043,-8.15472222,-46.63916666,TO
A557,-21.54694444,-43.26111111,MG
A882,-29.45027777,-51.82416666,RS
A883,-28.65333333,-53.11194444,RS
A028,-16.42305554,-51.14805555,GO
A759,-21.75138888,-52.47055554,MS
A249,0.03527777,-51.0886111,AP
F501,-19.97999999,-43.95861111,MG
A884,-29.67444443,-51.06416666,RS
A046,-15.93527777,-48.13749999,DF
A865,-27.80222222,-50.33555555,SC
A448,-9.00138888,-39.91277777,BA
A450,-10.08083332,-38.34583333,BA
A108,-7.61055555,-72.405,AC
A250,-2.50277777,-54.72027777,PA
A052,-11.04638888,-48.18555555,TO
A054,-12.59222221,-49.528611100000006,TO
A561,-20.91,-47.11416666,MG
A659,-22.64583333,-42.41583333,RJ
A667,-22.8711111,-42.60916666,RJ
A449,-10.00222222,-42.47333332,BA
A452,-11.05222222,-45.20083333,BA
A454,-13.03888888,-42.61722221,BA
A455,-17.00722222,-39.55138888,BA
S108,-2.7,-44.85,MA
S102,-2.93055554,-69.69527777,AM
S103,-3.02249999,-60.05555555,AM
S105,-4.25055555,-69.93499999,AM
S115,0.59944444,-69.19194444,AM
S116,-4.52999999,-71.61749999,AM
S117,-3.37722221,-64.72305554,AM
S121,-0.41444444,-65.01749999,AM
A216,-6.63972221,-51.95694444,PA
A247,-7.11027777,-49.92583332,PA
S107,-4.28999999,-47.55,PA
S111,-3.8,-47.51,PA
S120,-6.23722221,-57.77499999,PA
S101,-12.42999999,-64.41999999,RO
S104,-12.75055555,-60.14916666,RO
S110,-10.78999999,-65.33277777,RO
S113,0.94777777,-59.74638888,RR
S114,4.47749999,-61.14916666,RR
A048,-7.12416666,-48.78138888,TO
A049,-8.09277777,-48.4786111,TO
A050,-9.16,-47.13277777,TO
A051,-10.47694443,-49.62944443,TO
A053,-11.28416666,-47.21222222,TO
A055,-10.80833333,-49.84777777,TO
A559,-15.44805555,-44.36638888,MG
A563,-15.80277777,-43.29694444,MG
A565,-20.0311111,-46.00861111,MG
A569,-19.455,-44.17333332,MG
S122,3.35888888,-59.82388888,MG
A625,-22.09833333,-43.20861111,RJ
A626,-22.65361111,-44.04083333,RJ
A762,-21.45777777,-51.55222222,SP
A764,-20.94916666,-48.48972221,SP
B803,-24.57083332,-52.8025,PR
B804,-25.36888888,-52.39194444,PR
B806,-25.32222221,-49.1575,PR
A886,-29.89388888,-53.82666666,RS
A889,-29.70194444,-54.69416666,RS
A894,-28.70472222,-51.87055554,RS
A897,-29.04888888,-50.14944444,RS
A870,-27.678611100000005,-49.04194444,SC
A042,-15.59972221,-48.13111110000001,DF
A047,-16.01111111,-47.5575,DF
A029,-17.33694444,-49.91472222,GO
A031,-12.81972221,-50.34166666,GO
A911,-10.16583333,-59.45111111,MT
A923,-15.57999999,-54.38111110000001,MT
A371,-9.62222221,-37.76722221,AL
A373,-7.318611099999999,-38.14083333,PB
A370,-8.05805555,-39.0961111,PE
A372,-5.53499999,-36.87222221,RN
A451,-10.67166666,-37.47138888,SE
A453,-10.20777777,-37.43194443,SE
A251,0.56777777,-50.8236111,AP
A228,-1.68027777,-50.47805554,PA
A631,-18.29166666,-40.73638888,ES
A632,-19.40722222,-40.53972221,ES
A633,-20.25222222,-41.18999999,ES
A634,-20.46694443,-40.40416666,ES
A562,-18.52055554,-46.44055555,MG
A564,-20.17305554,-44.87472221,MG
A566,-16.84888888,-45.03527777,MG
A567,-21.68083332,-45.94444444,MG
A568,-19.71,-47.96166666,MG
A570,-20.71472222,-44.86444444,MG
A628,-22.97583332,-44.30333333,RJ
A635,-22.37388888,-44.70305555,RJ
A636,-22.93972221,-43.40277777,RJ
A744,-23.95194444,-46.53055554,SP
A763,-22.23527777,-49.965,SP
A765,-23.84499999,-46.14305555,SP
A766,-24.53305554,-47.86416666,SP
A767,-23.81083333,-45.4025,SP
A768,-21.92722221,-50.49027777,SP
A769,-22.68888888,-45.00555555,SP
A005,-13.51444444,-49.19833333,GO
A056,-16.39944444,-47.62583332,GO
S701,-22.14805555,-53.76361111,MS
S702,-22.955,-55.6261111,MS
S703,-19.94555555,-54.3686111,MS
S704,-21.24666666,-56.45055555,MS
S705,-21.29833333,-52.06888888,MS
S706,-22.65694444,-54.81944443,MS
S707,-19.58749999,-54.02999999,MS
S708,-22.30861111,-54.32583332,MS
S709,-23.64444444,-54.57027777,MS
S710,-22.09277777,-54.79888888,MS
S711,-22.57527777,-55.16027777,MS
S712,-21.45111111,-54.34194444,MS
S713,-22.0786111,-53.46583333,MS
S714,-18.07277777,-54.54888888,MS
S715,-20.46666666,-53.76305555,MS
S716,-21.30583333,-52.82027777,MS
S717,-20.35138888,-51.43027777,MS
A456,-12.80833333,-38.49583333,BA
A458,-11.05861111,-38.44416666,BA
A368,-3.73222221,-41.01194444,CE
A369,-4.97888888,-39.05722222,CE
A374,-10.42916666,-45.17305554,PI
A375,-8.33749999,-45.09472221,PI
A376,-4.86416666,-42.14555555,PI
A252,-4.28055554,-47.56388888,PA
A253,-3.27027777,-52.39472221,PA
A571,-17.24416666,-46.88166666,MG
A627,-22.86749999,-43.10194444,RJ
A629,-21.9386111,-42.60083333,RJ
A630,-21.95055555,-42.01055555,RJ
A771,-23.72472221,-46.67805554,SP
A893,-30.54305555,-52.52472221,RS
A942,-10.48416666,-52.37249999,MT
A943,-11.98777777,-51.4261111,MT
A944,-14.82888888,-56.44194444,MT
A255,-3.26916666,-45.65111111,MA
A377,-6.08944444,-42.72749999,PI
A144,-8.0911111,-60.38055554,AM
A244,0.69444444,-51.40416666,AP
A254,-8.04333333,-50.00694444,PA
A770,-21.46111111,-47.57944443,SP
A825,-24.15833333,-53.03055554,PR
A887,-31.8025,-52.40722222,RS
A895,-27.95527777,-52.63555555,SC
A898,-27.3886111,-51.21583333,SC
